Tabla,dbo,NIC,HND,SLV,GTM,CRI,PER
LineaCredito_CamposGenesys,LineaCredito_CamposGenesys,LineaCredito_CamposGenesys,LineaCredito_CamposGenesys,LineaCredito_CamposGenesys,LineaCredito_CamposGenesys,LineaCredito_CamposGenesys,LineaCredito_CamposGenesys
LineaCredito_CamposSAPV,LineaCredito_CamposSAPV,LineaCredito_CamposSAPV,LineaCredito_CamposSAPV,LineaCredito_CamposSAPV,LineaCredito_CamposSAPV,LineaCredito_CamposSAPV,LineaCredito_CamposSAPV
LineaCredito_HCI,LineaCredito_HCI,LineaCredito_HCI,LineaCredito_HCI,LineaCredito_HCI,LineaCredito_HCI,LineaCredito_HCI,LineaCredito_HCI
Log_Clientes_Lead_HCI,Log_Clientes_Lead_HCI,Log_Clientes_Lead_HCI,Log_Clientes_Lead_HCI,Log_Clientes_Lead_HCI,Log_Clientes_Lead_HCI,Log_Clientes_Lead_HCI,Log_Clientes_Lead_HCI
LOG_EXISTSCLIENTS_HCI,LOG_EXISTSCLIENTS_HCI,LOG_EXISTSCLIENTS_HCI,LOG_EXISTSCLIENTS_HCI,LOG_EXISTSCLIENTS_HCI,LOG_EXISTSCLIENTS_HCI,LOG_EXISTSCLIENTS_HCI,LOG_EXISTSCLIENTS_HCI
LOG_INVOICES_HCI,LOG_INVOICES_HCI,LOG_INVOICES_HCI,LOG_INVOICES_HCI,LOG_INVOICES_HCI,LOG_INVOICES_HCI,LOG_INVOICES_HCI,LOG_INVOICES_HCI
LOG_LineaCredito_HCI,LOG_LineaCredito_HCI,LOG_LineaCredito_HCI,LOG_LineaCredito_HCI,LOG_LineaCredito_HCI,LOG_LineaCredito_HCI,LOG_LineaCredito_HCI,LOG_LineaCredito_HCI
LOG_NEWCLIENTS_HCI,LOG_NEWCLIENTS_HCI,LOG_NEWCLIENTS_HCI,LOG_NEWCLIENTS_HCI,LOG_NEWCLIENTS_HCI,LOG_NEWCLIENTS_HCI,LOG_NEWCLIENTS_HCI,LOG_NEWCLIENTS_HCI
LOG_PAYMENTS_HCI,LOG_PAYMENTS_HCI,LOG_PAYMENTS_HCI,LOG_PAYMENTS_HCI,LOG_PAYMENTS_HCI,LOG_PAYMENTS_HCI,LOG_PAYMENTS_HCI,LOG_PAYMENTS_HCI
LOG_QUOTES_HCI,LOG_QUOTES_HCI,LOG_QUOTES_HCI,LOG_QUOTES_HCI,LOG_QUOTES_HCI,LOG_QUOTES_HCI,LOG_QUOTES_HCI,LOG_QUOTES_HCI
